ORUFI01G01800.1	99.4	503	3	3036	4544	80	582	1.7e-300	1030.4
ORUFI01G01800.1	98.7	79	1	253	489	1	79	9.8e-35	147.5
ORUFI01G01800.1	56.8	507	3	3036	4544	78	565	8.0e-162	569.7
ORUFI01G01800.1	36.4	77	1	259	489	7	77	3.6e-05	49.3
ORUFI01G01800.1	56.4	511	3	3018	4544	74	565	3.1e-158	557.8
ORUFI01G01800.1	35.5	76	1	262	489	5	79	2.0e-03	43.5
ORUFI01G01800.1	54.6	504	3	3036	4544	80	566	4.9e-151	533.9
ORUFI01G01800.1	48.8	41	1	367	489	40	79	8.9e-04	44.7
ORUFI01G01800.1	51.3	505	3	3036	4544	84	572	1.5e-136	485.7
ORUFI01G01800.1	53.7	41	1	367	489	44	83	4.7e-05	48.9
ORUFI01G01230.2	47.2	163	3	3327	3809	106	225	2.0e-32	139.8
ORUFI01G01230.2	26.2	400	1	2881	4077	28	278	2.0e-16	86.7
ORUFI01G01230.2	43.8	105	2	4172	4486	279	348	2.3e-15	83.2
ORUFI01G01230.2	39.5	172	3	3327	3809	91	219	5.7e-27	121.7
ORUFI01G01230.2	29.4	398	1	2890	4077	16	272	6.8e-20	98.2
ORUFI01G01230.2	49.5	105	2	4172	4486	273	342	5.7e-19	95.1
ORUFI01G01230.2	38.6	166	3	3327	3809	81	203	1.0e-23	110.9
ORUFI01G01230.2	52.9	51	1	3922	4074	205	255	4.9e-10	65.5
ORUFI01G01230.2	35.2	105	2	4172	4486	257	326	1.4e-09	63.9
ORUFI01G01230.2	49.1	57	1	2890	3060	6	62	1.0e-07	57.8
ORUFI01G01230.2	39.2	153	3	3384	3809	109	218	1.8e-20	100.1
ORUFI01G01230.2	28.7	404	1	2866	4077	7	271	2.3e-20	99.8
ORUFI01G01230.2	50.5	105	2	4172	4486	272	341	2.3e-20	99.8
ORUFI01G01230.2	31.7	161	3	3345	3809	90	207	1.4e-12	73.9
ORUFI01G01230.2	43.3	67	1	2866	3066	2	67	8.1e-05	48.1
ORUFI01G01230.2	26.0	104	2	4172	4483	261	329	3.4e-03	42.7
ORUFI01G01560.1	36.7	90	3	201	470	58	143	4.8e-12	69.7
ORUFI01G01560.1	37.1	89	3	201	467	126	210	1.8e-11	67.8
ORUFI01G01560.1	38.2	89	3	201	467	57	141	4.1e-11	66.6
ORUFI01G01560.1	35.2	91	3	201	467	62	148	9.1e-11	65.5
ORUFI01G01560.1	35.4	96	3	183	470	58	149	3.5e-10	63.5
ORUFI01G01390.1	43.7	87	2	1181	1441	207	269	3.7e-15	81.6
ORUFI01G01390.1	37.6	133	3	309	683	73	203	4.8e-15	81.3
ORUFI01G00620.1	58.7	46	-1	514	377	234	279	3.0e-09	60.1
ORUFI01G00620.1	60.0	35	-3	347	243	291	320	5.8e-05	45.8
ORUFI01G00620.1	58.7	46	-1	514	377	272	317	6.6e-09	58.9
ORUFI01G00620.1	50.0	42	-3	338	213	330	365	7.6e-05	45.4
ORUFI01G00620.1	69.2	39	-1	514	398	219	257	8.7e-09	58.5
ORUFI01G00620.1	52.2	46	-3	341	204	279	318	1.1e-06	51.6
ORUFI01G00620.1	43.9	57	-1	505	335	210	260	1.5e-05	47.8
ORUFI01G00490.1	72.7	55	1	661	825	46	100	6.8e-18	90.9
ORUFI01G00490.1	70.4	27	2	2882	2962	425	451	3.6e-03	42.0
ORUFI01G00480.1	44.7	197	3	3252	3842	256	369	1.4e-34	147.1
ORUFI01G00480.1	66.4	110	1	1549	1878	88	164	3.6e-30	132.5
ORUFI01G00480.1	95.2	63	2	1094	1282	29	91	4.0e-29	129.0
ORUFI01G00480.1	98.2	56	1	5308	5475	418	473	3.2e-26	119.4
ORUFI01G00480.1	98.0	51	2	4334	4486	368	418	3.6e-22	105.9
ORUFI01G00480.1	94.4	54	1	2719	2880	183	236	4.0e-21	102.4
ORUFI01G00480.1	44.0	150	2	3107	3556	234	330	3.4e-20	99.4
ORUFI01G00480.1	96.7	30	1	1	90	1	30	1.8e-08	60.5
ORUFI01G00480.1	100.0	21	2	1955	2017	163	183	2.0e-04	47.0
ORUFI01G00480.1	42.6	197	3	3252	3842	260	373	1.3e-32	140.6
ORUFI01G00480.1	59.1	110	1	1549	1878	92	168	2.3e-24	113.2
ORUFI01G00480.1	94.1	51	2	4334	4486	372	422	2.4e-21	103.2
ORUFI01G00480.1	90.7	54	1	2719	2880	187	240	5.8e-20	98.6
ORUFI01G00480.1	43.3	150	2	3107	3556	238	334	7.6e-20	98.2
ORUFI01G00480.1	79.6	54	1	5308	5469	422	475	1.7e-19	97.1
ORUFI01G00480.1	87.9	33	2	1184	1282	63	95	2.7e-09	63.2
ORUFI01G00480.1	95.2	21	2	1955	2017	167	187	5.8e-04	45.4
ORUFI01G00480.1	41.5	200	3	3252	3851	254	370	1.9e-31	136.7
ORUFI01G00480.1	54.5	110	1	1549	1878	86	162	4.8e-22	105.5
ORUFI01G00480.1	90.7	54	1	2719	2880	181	234	4.5e-20	99.0
ORUFI01G00480.1	43.3	150	2	3107	3556	232	328	4.5e-20	99.0
ORUFI01G00480.1	95.7	46	2	4349	4486	370	415	3.2e-18	92.8
ORUFI01G00480.1	69.6	56	1	5308	5475	415	470	2.7e-17	89.7
ORUFI01G00480.1	60.3	58	2	1112	1282	32	89	6.2e-14	78.6
ORUFI01G00480.1	100.0	21	2	1955	2017	161	181	2.0e-04	47.0
ORUFI01G00510.1	68.5	168	2	2324	2827	147	311	1.3e-63	243.0
ORUFI01G00510.1	57.3	75	1	154	378	74	148	8.3e-15	80.9
ORUFI01G00510.1	55.1	49	1	3337	3483	301	349	4.3e-11	68.6
ORUFI01G00510.1	52.6	152	2	2324	2779	191	342	2.4e-46	185.7
ORUFI01G00510.1	42.9	70	1	169	378	123	192	8.1e-10	64.3
